code,description
M80.861S,"""Other osteoporosis with current pathological fracture, right lower leg, sequela"""
M80.862D,"""Other osteoporosis with current pathological fracture, left lower leg, subsequent encounter for fracture with routine healing"""
M80.862G,"""Other osteoporosis with current pathological fracture, left lower leg, subsequent encounter for fracture with delayed healing"""
M80.862K,"""Other osteoporosis with current pathological fracture, left lower leg, subsequent encounter for fracture with nonunion"""
M80.862P,"""Other osteoporosis with current pathological fracture, left lower leg, subsequent encounter for fracture with malunion"""
M80.862S,"""Other osteoporosis with current pathological fracture, left lower leg, sequela"""
M80.869D,"""Other osteoporosis with current pathological fracture, unspecified lower leg, subsequent encounter for fracture with routine healing"""
M80.869G,"""Other osteoporosis with current pathological fracture, unspecified lower leg, subsequent encounter for fracture with delayed healing"""
M80.869K,"""Other osteoporosis with current pathological fracture, unspecified lower leg, subsequent encounter for fracture with nonunion"""
M80.869P,"""Other osteoporosis with current pathological fracture, unspecified lower leg, subsequent encounter for fracture with malunion"""
M80.869S,"""Other osteoporosis with current pathological fracture, unspecified lower leg, sequela"""
M80.871D,"""Other osteoporosis with current pathological fracture, right ankle and foot, subsequent encounter for fracture with routine healing"""
M80.871G,"""Other osteoporosis with current pathological fracture, right ankle and foot, subsequent encounter for fracture with delayed healing"""
M80.871K,"""Other osteoporosis with current pathological fracture, right ankle and foot, subsequent encounter for fracture with nonunion"""
M80.871P,"""Other osteoporosis with current pathological fracture, right ankle and foot, subsequent encounter for fracture with malunion"""
M80.871S,"""Other osteoporosis with current pathological fracture, right ankle and foot, sequela"""
M80.872D,"""Other osteoporosis with current pathological fracture, left ankle and foot, subsequent encounter for fracture with routine healing"""
M80.872G,"""Other osteoporosis with current pathological fracture, left ankle and foot, subsequent encounter for fracture with delayed healing"""
M80.872K,"""Other osteoporosis with current pathological fracture, left ankle and foot, subsequent encounter for fracture with nonunion"""
M80.872P,"""Other osteoporosis with current pathological fracture, left ankle and foot, subsequent encounter for fracture with malunion"""
M80.872S,"""Other osteoporosis with current pathological fracture, left ankle and foot, sequela"""
M80.879D,"""Other osteoporosis with current pathological fracture, unspecified ankle and foot, subsequent encounter for fracture with routine healing"""
M80.879G,"""Other osteoporosis with current pathological fracture, unspecified ankle and foot, subsequent encounter for fracture with delayed healing"""
M80.879K,"""Other osteoporosis with current pathological fracture, unspecified ankle and foot, subsequent encounter for fracture with nonunion"""
M80.879P,"""Other osteoporosis with current pathological fracture, unspecified ankle and foot, subsequent encounter for fracture with malunion"""
M80.879S,"""Other osteoporosis with current pathological fracture, unspecified ankle and foot, sequela"""
M80.88XD,"""Other osteoporosis with current pathological fracture, vertebra(e), subsequent encounter for fracture with routine healing"""
M80.88XG,"""Other osteoporosis with current pathological fracture, vertebra(e), subsequent encounter for fracture with delayed healing"""
M80.88XK,"""Other osteoporosis with current pathological fracture, vertebra(e), subsequent encounter for fracture with nonunion"""
M80.88XP,"""Other osteoporosis with current pathological fracture, vertebra(e), subsequent encounter for fracture with malunion"""
M80.88XS,"""Other osteoporosis with current pathological fracture, vertebra(e), sequela"""
M80.8AXD,"""Other osteoporosis with current pathological fracture, other site, subsequent encounter for fracture with routine healing"""
M80.8AXG,"""Other osteoporosis with current pathological fracture, other site, subsequent encounter for fracture with delayed healing"""
M80.8AXK,"""Other osteoporosis with current pathological fracture, other site, subsequent encounter for fracture with nonunion"""
M80.8AXP,"""Other osteoporosis with current pathological fracture, other site, subsequent encounter for fracture with malunion"""
M80.8AXS,"""Other osteoporosis with current pathological fracture, other site, sequela"""
M80.8B1D,"""Other osteoporosis with current pathological fracture, right pelvis, subsequent encounter for fracture with routine healing"""
M80.8B1G,"""Other osteoporosis with current pathological fracture, right pelvis, subsequent encounter for fracture with delayed healing"""
M80.8B1K,"""Other osteoporosis with current pathological fracture, right pelvis, subsequent encounter for fracture with nonunion"""
M80.8B1P,"""Other osteoporosis with current pathological fracture, right pelvis, subsequent encounter for fracture with malunion"""
M80.8B1S,"""Other osteoporosis with current pathological fracture, right pelvis, sequela"""
M80.8B2D,"""Other osteoporosis with current pathological fracture, left pelvis, subsequent encounter for fracture with routine healing"""
M80.8B2G,"""Other osteoporosis with current pathological fracture, left pelvis, subsequent encounter for fracture with delayed healing"""
M80.8B2K,"""Other osteoporosis with current pathological fracture, left pelvis, subsequent encounter for fracture with nonunion"""
M80.8B2P,"""Other osteoporosis with current pathological fracture, left pelvis, subsequent encounter for fracture with malunion"""
M80.8B2S,"""Other osteoporosis with current pathological fracture, left pelvis, sequela"""
M80.8B9D,"""Other osteoporosis with current pathological fracture, unspecified pelvis, subsequent encounter for fracture with routine healing"""
M80.8B9G,"""Other osteoporosis with current pathological fracture, unspecified pelvis, subsequent encounter for fracture with delayed healing"""
M80.8B9K,"""Other osteoporosis with current pathological fracture, unspecified pelvis, subsequent encounter for fracture with nonunion"""
M80.8B9P,"""Other osteoporosis with current pathological fracture, unspecified pelvis, subsequent encounter for fracture with malunion"""
M80.8B9S,"""Other osteoporosis with current pathological fracture, unspecified pelvis, sequela"""
M84.750D,"""Atypical femoral fracture, unspecified, subsequent encounter for fracture with routine healing"""
M84.750G,"""Atypical femoral fracture, unspecified, subsequent encounter for fracture with delayed healing"""
M84.750K,"""Atypical femoral fracture, unspecified, subsequent encounter for fracture with nonunion"""
M84.750P,"""Atypical femoral fracture, unspecified, subsequent encounter for fracture with malunion"""
M84.750S,"""Atypical femoral fracture, unspecified, sequela"""
M84.751D,"""Incomplete atypical femoral fracture, right leg, subsequent encounter for fracture with routine healing"""
M84.751G,"""Incomplete atypical femoral fracture, right leg, subsequent encounter for fracture with delayed healing"""
M84.751K,"""Incomplete atypical femoral fracture, right leg, subsequent encounter for fracture with nonunion"""
M84.751P,"""Incomplete atypical femoral fracture, right leg, subsequent encounter for fracture with malunion"""
M84.751S,"""Incomplete atypical femoral fracture, right leg, sequela"""
M84.752D,"""Incomplete atypical femoral fracture, left leg, subsequent encounter for fracture with routine healing"""
M84.752G,"""Incomplete atypical femoral fracture, left leg, subsequent encounter for fracture with delayed healing"""
M84.752K,"""Incomplete atypical femoral fracture, left leg, subsequent encounter for fracture with nonunion"""
M84.752P,"""Incomplete atypical femoral fracture, left leg, subsequent encounter for fracture with malunion"""
M84.752S,"""Incomplete atypical femoral fracture, left leg, sequela"""
M84.753D,"""Incomplete atypical femoral fracture, unspecified leg, subsequent encounter for fracture with routine healing"""
M84.753G,"""Incomplete atypical femoral fracture, unspecified leg, subsequent encounter for fracture with delayed healing"""
M84.753K,"""Incomplete atypical femoral fracture, unspecified leg, subsequent encounter for fracture with nonunion"""
M84.753P,"""Incomplete atypical femoral fracture, unspecified leg, subsequent encounter for fracture with malunion"""
M84.753S,"""Incomplete atypical femoral fracture, unspecified leg, sequela"""
M84.754D,"""Complete transverse atypical femoral fracture, right leg, subsequent encounter for fracture with routine healing"""
M84.754G,"""Complete transverse atypical femoral fracture, right leg, subsequent encounter for fracture with delayed healing"""
M84.754K,"""Complete transverse atypical femoral fracture, right leg, subsequent encounter for fracture with nonunion"""
M84.754P,"""Complete transverse atypical femoral fracture, right leg, subsequent encounter for fracture with malunion"""
M84.754S,"""Complete transverse atypical femoral fracture, right leg, sequela"""
M84.755D,"""Complete transverse atypical femoral fracture, left leg, subsequent encounter for fracture with routine healing"""
M84.755G,"""Complete transverse atypical femoral fracture, left leg, subsequent encounter for fracture with delayed healing"""
M84.755K,"""Complete transverse atypical femoral fracture, left leg, subsequent encounter for fracture with nonunion"""
M84.755P,"""Complete transverse atypical femoral fracture, left leg, subsequent encounter for fracture with malunion"""
M84.755S,"""Complete transverse atypical femoral fracture, left leg, sequela"""
M84.756D,"""Complete transverse atypical femoral fracture, unspecified leg, subsequent encounter for fracture with routine healing"""
M84.756G,"""Complete transverse atypical femoral fracture, unspecified leg, subsequent encounter for fracture with delayed healing"""
M84.756K,"""Complete transverse atypical femoral fracture, unspecified leg, subsequent encounter for fracture with nonunion"""
M84.756P,"""Complete transverse atypical femoral fracture, unspecified leg, subsequent encounter for fracture with malunion"""
M84.756S,"""Complete transverse atypical femoral fracture, unspecified leg, sequela"""
M84.757D,"""Complete oblique atypical femoral fracture, right leg, subsequent encounter for fracture with routine healing"""
M84.757G,"""Complete oblique atypical femoral fracture, right leg, subsequent encounter for fracture with delayed healing"""
M84.757K,"""Complete oblique atypical femoral fracture, right leg, subsequent encounter for fracture with nonunion"""
M84.757P,"""Complete oblique atypical femoral fracture, right leg, subsequent encounter for fracture with malunion"""
M84.757S,"""Complete oblique atypical femoral fracture, right leg, sequela"""
M84.758D,"""Complete oblique atypical femoral fracture, left leg, subsequent encounter for fracture with routine healing"""
M84.758G,"""Complete oblique atypical femoral fracture, left leg, subsequent encounter for fracture with delayed healing"""
M84.758K,"""Complete oblique atypical femoral fracture, left leg, subsequent encounter for fracture with nonunion"""
M84.758P,"""Complete oblique atypical femoral fracture, left leg, subsequent encounter for fracture with malunion"""
M84.758S,"""Complete oblique atypical femoral fracture, left leg, sequela"""
M84.759D,"""Complete oblique atypical femoral fracture, unspecified leg, subsequent encounter for fracture with routine healing"""
M84.759G,"""Complete oblique atypical femoral fracture, unspecified leg, subsequent encounter for fracture with delayed healing"""
M84.759K,"""Complete oblique atypical femoral fracture, unspecified leg, subsequent encounter for fracture with nonunion"""
M84.759P,"""Complete oblique atypical femoral fracture, unspecified leg, subsequent encounter for fracture with malunion"""
M84.759S,"""Complete oblique atypical femoral fracture, unspecified leg, sequela"""
M97.01XD,"""Periprosthetic fracture around internal prosthetic right hip joint, subsequent encounter"""
M97.01XS,"""Periprosthetic fracture around internal prosthetic right hip joint, sequela"""
M97.02XD,"""Periprosthetic fracture around internal prosthetic left hip joint, subsequent encounter"""
M97.02XS,"""Periprosthetic fracture around internal prosthetic left hip joint, sequela"""
M97.11XD,"""Periprosthetic fracture around internal prosthetic right knee joint, subsequent encounter"""
M97.11XS,"""Periprosthetic fracture around internal prosthetic right knee joint, sequela"""
M97.12XD,"""Periprosthetic fracture around internal prosthetic left knee joint, subsequent encounter"""
M97.12XS,"""Periprosthetic fracture around internal prosthetic left knee joint, sequela"""
M97.21XD,"""Periprosthetic fracture around internal prosthetic right ankle joint, subsequent encounter"""
M97.21XS,"""Periprosthetic fracture around internal prosthetic right ankle joint, sequela"""
M97.22XD,"""Periprosthetic fracture around internal prosthetic left ankle joint, subsequent encounter"""
M97.22XS,"""Periprosthetic fracture around internal prosthetic left ankle joint, sequela"""
M97.31XD,"""Periprosthetic fracture around internal prosthetic right shoulder joint, subsequent encounter"""
M97.31XS,"""Periprosthetic fracture around internal prosthetic right shoulder joint, sequela"""
M97.32XD,"""Periprosthetic fracture around internal prosthetic left shoulder joint, subsequent encounter"""
M97.32XS,"""Periprosthetic fracture around internal prosthetic left shoulder joint, sequela"""
M97.41XD,"""Periprosthetic fracture around internal prosthetic right elbow joint, subsequent encounter"""
M97.41XS,"""Periprosthetic fracture around internal prosthetic right elbow joint, sequela"""
M97.42XD,"""Periprosthetic fracture around internal prosthetic left elbow joint, subsequent encounter"""
M97.42XS,"""Periprosthetic fracture around internal prosthetic left elbow joint, sequela"""
M97.8XXD,"""Periprosthetic fracture around other internal prosthetic joint, subsequent encounter"""
M97.8XXS,"""Periprosthetic fracture around other internal prosthetic joint, sequela"""
M97.9XXD,"""Periprosthetic fracture around unspecified internal prosthetic joint, subsequent encounter"""
M97.9XXS,"""Periprosthetic fracture around unspecified internal prosthetic joint, sequela"""
O09.00,"""Supervision of pregnancy with history of infertility, unspecified trimester"""
O09.01,"""Supervision of pregnancy with history of infertility, first trimester"""
O09.02,"""Supervision of pregnancy with history of infertility, second trimester"""
O09.03,"""Supervision of pregnancy with history of infertility, third trimester"""
O09.10,"""Supervision of pregnancy with history of ectopic pregnancy, unspecified trimester"""
O09.11,"""Supervision of pregnancy with history of ectopic pregnancy, first trimester"""
O09.12,"""Supervision of pregnancy with history of ectopic pregnancy, second trimester"""
O09.13,"""Supervision of pregnancy with history of ectopic pregnancy, third trimester"""
O09.A0,"""Supervision of pregnancy with history of molar pregnancy, unspecified trimester"""
O09.A1,"""Supervision of pregnancy with history of molar pregnancy, first trimester"""
O09.A2,"""Supervision of pregnancy with history of molar pregnancy, second trimester"""
O09.A3,"""Supervision of pregnancy with history of molar pregnancy, third trimester"""
O09.211,"""Supervision of pregnancy with history of pre-term labor, first trimester"""
O09.212,"""Supervision of pregnancy with history of pre-term labor, second trimester"""
O09.213,"""Supervision of pregnancy with history of pre-term labor, third trimester"""
O09.219,"""Supervision of pregnancy with history of pre-term labor, unspecified trimester"""
O09.291,"""Supervision of pregnancy with other poor reproductive or obstetric history, first trimester"""
O09.292,"""Supervision of pregnancy with other poor reproductive or obstetric history, second trimester"""
O09.293,"""Supervision of pregnancy with other poor reproductive or obstetric history, third trimester"""
O09.299,"""Supervision of pregnancy with other poor reproductive or obstetric history, unspecified trimester"""
O09.30,"""Supervision of pregnancy with insufficient antenatal care, unspecified trimester"""
O09.31,"""Supervision of pregnancy with insufficient antenatal care, first trimester"""
O09.32,"""Supervision of pregnancy with insufficient antenatal care, second trimester"""
O09.33,"""Supervision of pregnancy with insufficient antenatal care, third trimester"""
O09.40,"""Supervision of pregnancy with grand multiparity, unspecified trimester"""
O09.41,"""Supervision of pregnancy with grand multiparity, first trimester"""
O09.42,"""Supervision of pregnancy with grand multiparity, second trimester"""
O09.43,"""Supervision of pregnancy with grand multiparity, third trimester"""
O09.511,"""Supervision of elderly primigravida, first trimester"""
O09.512,"""Supervision of elderly primigravida, second trimester"""
O09.513,"""Supervision of elderly primigravida, third trimester"""
O09.519,"""Supervision of elderly primigravida, unspecified trimester"""
O09.521,"""Supervision of elderly multigravida, first trimester"""
O09.522,"""Supervision of elderly multigravida, second trimester"""
O09.523,"""Supervision of elderly multigravida, third trimester"""
O09.529,"""Supervision of elderly multigravida, unspecified trimester"""
O09.611,"""Supervision of young primigravida, first trimester"""
O09.612,"""Supervision of young primigravida, second trimester"""
O09.613,"""Supervision of young primigravida, third trimester"""
O09.619,"""Supervision of young primigravida, unspecified trimester"""
O09.621,"""Supervision of young multigravida, first trimester"""
O09.622,"""Supervision of young multigravida, second trimester"""
O09.623,"""Supervision of young multigravida, third trimester"""
O09.629,"""Supervision of young multigravida, unspecified trimester"""
O09.70,"""Supervision of high risk pregnancy due to social problems, unspecified trimester"""
O09.71,"""Supervision of high risk pregnancy due to social problems, first trimester"""
O09.72,"""Supervision of high risk pregnancy due to social problems, second trimester"""
O09.73,"""Supervision of high risk pregnancy due to social problems, third trimester"""
O09.811,"""Supervision of pregnancy resulting from assisted reproductive technology, first trimester"""
O09.812,"""Supervision of pregnancy resulting from assisted reproductive technology, second trimester"""
O09.813,"""Supervision of pregnancy resulting from assisted reproductive technology, third trimester"""
O09.819,"""Supervision of pregnancy resulting from assisted reproductive technology, unspecified trimester"""
O09.821,"""Supervision of pregnancy with history of in utero procedure during previous pregnancy, first trimester"""
O09.822,"""Supervision of pregnancy with history of in utero procedure during previous pregnancy, second trimester"""
O09.823,"""Supervision of pregnancy with history of in utero procedure during previous pregnancy, third trimester"""
O09.829,"""Supervision of pregnancy with history of in utero procedure during previous pregnancy, unspecified trimester"""
O09.891,"""Supervision of other high risk pregnancies, first trimester"""
O09.892,"""Supervision of other high risk pregnancies, second trimester"""
O09.893,"""Supervision of other high risk pregnancies, third trimester"""
O09.899,"""Supervision of other high risk pregnancies, unspecified trimester"""
O09.90,"""Supervision of high risk pregnancy, unspecified, unspecified trimester"""
O09.91,"""Supervision of high risk pregnancy, unspecified, first trimester"""
O09.92,"""Supervision of high risk pregnancy, unspecified, second trimester"""
O09.93,"""Supervision of high risk pregnancy, unspecified, third trimester"""
O66.5,Attempted application of vacuum extractor and forceps
O80,Encounter for full-term uncomplicated delivery
O94,"""Sequelae of complication of pregnancy, childbirth, and the puerperium"""
P00.0,Newborn affected by maternal hypertensive disorders
P00.1,Newborn affected by maternal renal and urinary tract diseases
P00.2,Newborn affected by maternal infectious and parasitic diseases
P00.3,Newborn affected by other maternal circulatory and respiratory diseases
P00.4,Newborn affected by maternal nutritional disorders
P00.5,Newborn affected by maternal injury
P00.6,Newborn affected by surgical procedure on mother
P00.7,"""Newborn affected by other medical procedures on mother, not elsewhere classified"""
P00.81,Newborn affected by periodontal disease in mother
P00.82,Newborn affected by (positive) maternal group B streptococcus (GBS) colonization
P00.89,Newborn affected by other maternal conditions
P00.9,Newborn affected by unspecified maternal condition
P29.30,Pulmonary hypertension of newborn
P29.38,Other persistent fetal circulation
P78.84,Gestational alloimmune liver disease
P83.81,Umbilical granuloma
P83.88,Other specified conditions of integument specific to newborn
P91.811,Neonatal encephalopathy in diseases classified elsewhere
P91.819,"""Neonatal encephalopathy, unspecified"""
P91.821,"""Neonatal cerebral infarction, right side of brain"""
P91.822,"""Neonatal cerebral infarction, left side of brain"""
P91.823,"""Neonatal cerebral infarction, bilateral"""
P91.829,"""Neonatal cerebral infarction, unspecified side"""
P91.88,Other specified disturbances of cerebral status of newborn
Q00.0,Anencephaly
Q00.1,Craniorachischisis
Q00.2,Iniencephaly
Q01.0,Frontal encephalocele
Q01.1,Nasofrontal encephalocele
Q01.2,Occipital encephalocele
Q01.8,Encephalocele of other sites
Q01.9,"""Encephalocele, unspecified"""
Q02,Microcephaly
Q03.0,Malformations of aqueduct of Sylvius
Q03.1,Atresia of foramina of Magendie and Luschka
Q03.8,Other congenital hydrocephalus
Q03.9,"""Congenital hydrocephalus, unspecified"""
Q04.0,Congenital malformations of corpus callosum
Q04.1,Arhinencephaly
Q04.2,Holoprosencephaly
Q04.3,Other reduction deformities of brain
Q04.4,Septo-optic dysplasia of brain
Q04.5,Megalencephaly
Q04.6,Congenital cerebral cysts
Q04.8,Other specified congenital malformations of brain
Q04.9,"""Congenital malformation of brain, unspecified"""
Q05.0,Cervical spina bifida with hydrocephalus
Q05.1,Thoracic spina bifida with hydrocephalus
Q05.2,Lumbar spina bifida with hydrocephalus
Q05.3,Sacral spina bifida with hydrocephalus
Q05.4,Unspecified spina bifida with hydrocephalus
Q05.5,Cervical spina bifida without hydrocephalus
Q05.6,Thoracic spina bifida without hydrocephalus
Q05.7,Lumbar spina bifida without hydrocephalus
Q05.8,Sacral spina bifida without hydrocephalus
Q05.9,"""Spina bifida, unspecified"""
Q06.0,Amyelia
Q06.1,Hypoplasia and dysplasia of spinal cord
Q06.2,Diastematomyelia
Q06.3,Other congenital cauda equina malformations
Q06.4,Hydromyelia
Q06.8,Other specified congenital malformations of spinal cord
Q06.9,"""Congenital malformation of spinal cord, unspecified"""
Q07.00,Arnold-Chiari syndrome without spina bifida or hydrocephalus
Q07.01,Arnold-Chiari syndrome with spina bifida
Q07.02,Arnold-Chiari syndrome with hydrocephalus
Q07.03,Arnold-Chiari syndrome with spina bifida and hydrocephalus
Q07.8,Other specified congenital malformations of nervous system
Q07.9,"""Congenital malformation of nervous system, unspecified"""
Q10.0,Congenital ptosis
Q10.1,Congenital ectropion
Q10.2,Congenital entropion
Q10.3,Other congenital malformations of eyelid
Q10.4,Absence and agenesis of lacrimal apparatus
Q10.5,Congenital stenosis and stricture of lacrimal duct
Q10.6,Other congenital malformations of lacrimal apparatus
Q10.7,Congenital malformation of orbit
Q11.0,Cystic eyeball
Q11.1,Other anophthalmos
Q11.2,Microphthalmos
Q11.3,Macrophthalmos
Q12.0,Congenital cataract
Q12.1,Congenital displaced lens
Q12.2,Coloboma of lens
Q12.3,Congenital aphakia
Q12.4,Spherophakia
Q12.8,Other congenital lens malformations
Q12.9,"""Congenital lens malformation, unspecified"""
Q13.0,Coloboma of iris
Q13.1,Absence of iris
Q13.2,Other congenital malformations of iris
Q13.3,Congenital corneal opacity
Q13.4,Other congenital corneal malformations
Q13.5,Blue sclera
Q13.81,Rieger anomaly
Q13.89,Other congenital malformations of anterior segment of eye
Q13.9,"""Congenital malformation of anterior segment of eye, unspecified"""
Q14.0,Congenital malformation of vitreous humor
Q14.1,Congenital malformation of retina
Q14.2,Congenital malformation of optic disc
Q14.3,Congenital malformation of choroid
Q14.8,Other congenital malformations of posterior segment of eye
Q14.9,"""Congenital malformation of posterior segment of eye, unspecified"""
Q15.0,Congenital glaucoma
Q15.8,Other specified congenital malformations of eye
Q15.9,"""Congenital malformation of eye, unspecified"""
Q16.0,Congenital absence of (ear) auricle
Q16.1,"""Congenital absence, atresia and stricture of auditory canal (external)"""
Q16.2,Absence of eustachian tube
Q16.3,Congenital malformation of ear ossicles
Q16.4,Other congenital malformations of middle ear
Q16.5,Congenital malformation of inner ear
Q16.9,"""Congenital malformation of ear causing impairment of hearing, unspecified"""
Q17.0,Accessory auricle
Q17.1,Macrotia
Q17.2,Microtia
Q17.3,Other misshapen ear
Q17.4,Misplaced ear
Q17.5,Prominent ear
Q17.8,Other specified congenital malformations of ear
Q17.9,"""Congenital malformation of ear, unspecified"""
Q18.0,"""Sinus, fistula and cyst of branchial cleft"""
Q18.1,Preauricular sinus and cyst
Q18.2,Other branchial cleft malformations
Q18.3,Webbing of neck
Q18.4,Macrostomia
Q18.5,Microstomia
Q18.6,Macrocheilia
Q18.7,Microcheilia
Q18.8,Other specified congenital malformations of face and neck
Q18.9,"""Congenital malformation of face and neck, unspecified"""
Q20.0,Common arterial trunk
Q20.1,Double outlet right ventricle
Q20.2,Double outlet left ventricle
Q20.3,Discordant ventriculoarterial connection
Q20.4,Double inlet ventricle
Q20.5,Discordant atrioventricular connection
Q20.6,Isomerism of atrial appendages
Q20.8,Other congenital malformations of cardiac chambers and connections
Q20.9,"""Congenital malformation of cardiac chambers and connections, unspecified"""
Q21.0,Ventricular septal defect
Q21.10,"""Atrial septal defect, unspecified"""
Q21.11,Secundum atrial septal defect
Q21.12,Patent foramen ovale
Q21.13,Coronary sinus atrial septal defect
Q21.14,Superior sinus venosus atrial septal defect
Q21.15,Inferior sinus venosus atrial septal defect
Q21.16,"""Sinus venosus atrial septal defect, unspecified"""
Q21.19,Other specified atrial septal defect
Q21.20,"""Atrioventricular septal defect, unspecified as to partial or complete"""
Q21.21,Partial atrioventricular septal defect
Q21.22,Transitional atrioventricular septal defect
Q21.23,Complete atrioventricular septal defect
Q21.3,Tetralogy of Fallot
Q21.4,Aortopulmonary septal defect
Q21.8,Other congenital malformations of cardiac septa
Q21.9,"""Congenital malformation of cardiac septum, unspecified"""
Q22.0,Pulmonary valve atresia
Q22.1,Congenital pulmonary valve stenosis
Q22.2,Congenital pulmonary valve insufficiency
Q22.3,Other congenital malformations of pulmonary valve
Q22.4,Congenital tricuspid stenosis
Q22.5,Ebstein's anomaly
Q22.6,Hypoplastic right heart syndrome
Q22.8,Other congenital malformations of tricuspid valve
Q22.9,"""Congenital malformation of tricuspid valve, unspecified"""
Q23.0,Congenital stenosis of aortic valve
Q23.1,Congenital insufficiency of aortic valve
Q23.2,Congenital mitral stenosis
Q23.3,Congenital mitral insufficiency
Q23.4,Hypoplastic left heart syndrome
Q23.81,Bicuspid aortic valve
Q23.82,Congenital mitral valve cleft leaflet
Q23.88,Other congenital malformations of aortic and mitral valves
Q23.9,"""Congenital malformation of aortic and mitral valves, unspecified"""
Q24.0,Dextrocardia
Q24.1,Levocardia
Q24.2,Cor triatriatum
Q24.3,Pulmonary infundibular stenosis
Q24.4,Congenital subaortic stenosis
Q24.5,Malformation of coronary vessels
Q24.6,Congenital heart block
Q24.8,Other specified congenital malformations of heart
Q24.9,"""Congenital malformation of heart, unspecified"""
Q25.0,Patent ductus arteriosus
Q25.1,Coarctation of aorta
Q25.21,Interruption of aortic arch
Q25.29,Other atresia of aorta
Q25.3,Supravalvular aortic stenosis
Q25.40,Congenital malformation of aorta unspecified
Q25.41,Absence and aplasia of aorta
Q25.42,Hypoplasia of aorta
Q25.43,Congenital aneurysm of aorta
Q25.44,Congenital dilation of aorta
Q25.45,Double aortic arch
Q25.46,Tortuous aortic arch
Q25.47,Right aortic arch
Q25.48,Anomalous origin of subclavian artery
Q25.49,Other congenital malformations of aorta
Q25.5,Atresia of pulmonary artery
Q25.6,Stenosis of pulmonary artery
Q25.71,Coarctation of pulmonary artery
Q25.72,Congenital pulmonary arteriovenous malformation
Q25.79,Other congenital malformations of pulmonary artery
Q25.8,Other congenital malformations of other great arteries
Q25.9,"""Congenital malformation of great arteries, unspecified"""
Q26.0,Congenital stenosis of vena cava
Q26.1,Persistent left superior vena cava
Q26.2,Total anomalous pulmonary venous connection
Q26.3,Partial anomalous pulmonary venous connection
Q26.4,"""Anomalous pulmonary venous connection, unspecified"""
Q26.5,Anomalous portal venous connection
Q26.6,Portal vein-hepatic artery fistula
Q26.8,Other congenital malformations of great veins
Q26.9,"""Congenital malformation of great vein, unspecified"""
Q27.0,Congenital absence and hypoplasia of umbilical artery
Q27.1,Congenital renal artery stenosis
Q27.2,Other congenital malformations of renal artery
Q27.30,"""Arteriovenous malformation, site unspecified"""
Q27.31,Arteriovenous malformation of vessel of upper limb
Q27.32,Arteriovenous malformation of vessel of lower limb
Q27.33,Arteriovenous malformation of digestive system vessel
Q27.34,Arteriovenous malformation of renal vessel
Q27.39,"""Arteriovenous malformation, other site"""
Q27.4,Congenital phlebectasia
Q27.8,Other specified congenital malformations of peripheral vascular system
Q27.9,"""Congenital malformation of peripheral vascular system, unspecified"""
Q28.0,Arteriovenous malformation of precerebral vessels
Q28.1,Other malformations of precerebral vessels
Q28.2,Arteriovenous malformation of cerebral vessels
Q28.3,Other malformations of cerebral vessels
Q28.8,Other specified congenital malformations of circulatory system
Q28.9,"""Congenital malformation of circulatory system, unspecified"""
Q30.0,Choanal atresia
Q30.1,Agenesis and underdevelopment of nose
Q30.2,"""Fissured, notched and cleft nose"""
Q30.3,Congenital perforated nasal septum
Q30.8,Other congenital malformations of nose
Q30.9,"""Congenital malformation of nose, unspecified"""
Q31.0,Web of larynx
Q31.1,Congenital subglottic stenosis
Q31.2,Laryngeal hypoplasia
Q31.3,Laryngocele
Q31.5,Congenital laryngomalacia
Q31.8,Other congenital malformations of larynx
Q31.9,"""Congenital malformation of larynx, unspecified"""
Q32.0,Congenital tracheomalacia
Q32.1,Other congenital malformations of trachea
Q32.2,Congenital bronchomalacia
Q32.3,Congenital stenosis of bronchus
Q32.4,Other congenital malformations of bronchus
Q33.0,Congenital cystic lung
Q33.1,Accessory lobe of lung
Q33.2,Sequestration of lung
Q33.3,Agenesis of lung
Q33.4,Congenital bronchiectasis
Q33.5,Ectopic tissue in lung
Q33.6,Congenital hypoplasia and dysplasia of lung
Q33.8,Other congenital malformations of lung
Q33.9,"""Congenital malformation of lung, unspecified"""
Q34.0,Anomaly of pleura
Q34.1,Congenital cyst of mediastinum
Q34.8,Other specified congenital malformations of respiratory system
Q34.9,"""Congenital malformation of respiratory system, unspecified"""
Q35.1,Cleft hard palate
Q35.3,Cleft soft palate
Q35.5,Cleft hard palate with cleft soft palate
Q35.7,Cleft uvula
Q35.9,"""Cleft palate, unspecified"""
Q36.0,"""Cleft lip, bilateral"""
Q36.1,"""Cleft lip, median"""
Q36.9,"""Cleft lip, unilateral"""
Q37.0,Cleft hard palate with bilateral cleft lip
Q37.1,Cleft hard palate with unilateral cleft lip
Q37.2,Cleft soft palate with bilateral cleft lip
Q37.3,Cleft soft palate with unilateral cleft lip
Q37.4,Cleft hard and soft palate with bilateral cleft lip
Q37.5,Cleft hard and soft palate with unilateral cleft lip
Q37.8,Unspecified cleft palate with bilateral cleft lip
Q37.9,Unspecified cleft palate with unilateral cleft lip
Q38.0,"""Congenital malformations of lips, not elsewhere classified"""
Q38.1,Ankyloglossia
Q38.2,Macroglossia
Q38.3,Other congenital malformations of tongue
Q38.4,Congenital malformations of salivary glands and ducts
Q38.5,"""Congenital malformations of palate, not elsewhere classified"""
Q38.6,Other congenital malformations of mouth
Q38.7,Congenital pharyngeal pouch
